fault-injection,ann,bandit-eps,bandit-opt,bayes-high,bayes-low,mlfq,qlearning,random,tableau
b1-abort,11.55,5.6,3,7.6,7.8,9.65,66.65,33.65,32.4
b1-delay,9.2,5.8,3,11.3,10.85,9.05,66.15,31.95,33.7
c1-abort,13.7,6.2,3,7.7,7.25,7.4,43.95,31.55,31.85
c1-delay,9.5,5.5,3.2,10.45,15.55,8.2,42.25,31.45,32.75
c2-abort,161.8,295.95,178.7,160,140.7,148.5,22.35,31.8,62.4
c2-delay,153.15,27.05,178.1,154.1,145.4,147.1,22.15,34.75,63.25
d1-abort,5.35,12.5,3,4.3,9.15,13.55,21.1,32.95,22.3
d1-delay,4.7,6.3,3.3,7.25,13.05,11.2,19.15,31.65,22.05
e1-abort,4.55,5.45,3,5,7.7,8.7,22.15,31,21.4
e1-delay,4.8,6.1,3.15,6.75,12.05,9.05,20.8,32.05,22.15
e2-abort,6.37,6,3,4.55,7.4,7.75,20.25,34.6,21.85
e2-delay,4.22,5.55,3.55,9,11.1,7.85,21.05,30.6,21.9
