fault-injection,ann,bandit-eps,bandit-opt,bayes-high,bayes-low,mlfq,qlearning,random,tableau
b1-abort,63.85,148.95,42.25,55.1,53.75,53.3,64.7,34.1,35.2
b1-delay,61.45,37.25,79.8,57.1,55.2,52.95,66.45,34.15,31.5
c1-abort,63.85,5.7,42.05,53.65,59.65,52.05,42,33.05,35.2
c1-delay,60.3,101.4,79.85,51.8,53.3,51.7,44.3,32,32.85
c2-abort,62.45,7.95,44.7,50.75,52.35,52.75,23.2,31.8,33.85
c2-delay,62.05,54.21,80.6,54.6,55.05,52.35,20.45,33.55,30.45
d1-abort,2.89,8.8,3,7.4,7,14.35,20.75,30.2,34.8
d1-delay,2.6,5.8,3.25,13.65,12.9,13.45,21.6,30.25,30.6
e1-abort,2.37,5.15,3,9.2,7.75,11.8,20.95,31.8,32
e1-delay,2.15,5.65,3.15,14.1,12,11.45,22.5,32.7,28.15
e2-abort,2,4.8,3,7.4,6.85,10.6,20,31.65,31.35
e2-delay,2.78,5.1,3.35,13.25,12.2,11.25,21.1,32.75,32.05
