fault-injection,ann,bandit-eps,bandit-opt,bayes-high,bayes-low,mlfq,qlearning,random,tableau
b1-abort,38.15,6.05,30.45,27.85,34.9,34.15,66.4,32.15,21.9
b1-delay,39.45,42,42.65,28.1,36.85,33.95,63.6,32.1,20.6
c1-abort,38.75,4.75,30.2,30.6,35.6,32.9,44.2,32.85,20.65
c1-delay,37.4,36.05,45.85,28.55,35.2,32.65,41.75,32.65,21.7
c2-abort,38.1,6.4,31.05,27.9,36.15,33.2,20.3,32.35,20
c2-delay,38.15,80.15,42.6,28.1,38.75,33,23.4,32.2,21.45
d1-abort,39.15,96.75,30.5,46.3,38.75,34.5,22.15,32.55,32.45
d1-delay,36.65,44.6,56.4,44.5,36.35,34.35,20.55,30.45,31.7
e1-abort,37.85,6.4,30.35,44.85,36.4,33.7,21.25,32.65,32.3
e1-delay,36.95,51.6,41.65,42.45,38.25,33.5,20.95,32.45,27.35
e2-abort,3.55,6.4,3,16.6,7.95,26.2,21.45,32.45,67
e2-delay,4.11,6.85,3.3,22.2,12.85,25.9,22,33.15,70.9
