fault-injection,ann,bandit-eps,bandit-opt,bayes-high,bayes-low,mlfq,qlearning,random,tableau
b1-abort,37.15,5.85,38,42.75,34.7,34.25,67.35,32.1,32.05
b1-delay,35.35,7.15,38,43.15,35.5,34.2,66.5,33.9,30.25
c1-abort,35.3,6.55,38,41.95,34.65,33.2,42.7,31.75,30.8
c1-delay,34.85,6.1,38,43.95,37.75,32.95,42,32.05,33.4
c2-abort,6.15,5.25,3,18.05,7.6,26,20.85,32.95,64.8
c2-delay,9.9,5.35,3,27.9,12.05,23.65,22.1,31.2,69.8
d1-abort,38.2,321.3,39,25.7,37.85,34.6,21.25,32.65,21.2
d1-delay,38.35,7.85,39,30.45,38.5,34.35,20.2,31.75,21.9
e1-abort,38.55,5.8,38,29.05,36.45,34,23.1,32.5,21.15
e1-delay,36.3,5.95,38,28.5,39.2,33.75,21.1,30.75,22.35
e2-abort,39.35,6.21,38,29.35,36.15,33.65,19.85,33.7,20.7
e2-delay,38.55,5,38,27.2,37.6,33.4,21,32.7,19.6
