fault-injection,ann,bandit-eps,bandit-opt,bayes-high,bayes-low,mlfq,qlearning,random,tableau
b1-abort,44.2,304.3,47,29.9,42.75,41.55,67.2,30.4,22.6
b1-delay,47.35,21.15,47,31,44.15,41.3,64.7,33.1,20.75
c1-abort,46.85,5,46.95,29.6,45.8,40.15,43.55,31.95,24.35
c1-delay,44.75,6.45,46.6,29.6,41.65,39.85,42.3,33.15,22.9
c2-abort,46.9,6.65,47,29.25,45.2,40.5,20.8,32.85,21.2
c2-delay,47.9,4.75,46.95,28.5,47.45,40.3,22.45,31.6,20.85
d1-abort,3.85,7.3,3,6.85,6.65,17.35,20.8,33.4,31.5
d1-delay,7.8,5.55,3.05,10.1,8.35,15.9,22.1,32.25,30.6
e1-abort,4.1,5.95,3,7.7,8.6,14.5,21.6,32.95,30.25
e1-delay,6.3,5.9,3.45,10.35,9.85,14.9,21.35,31.85,32.8
e2-abort,41.75,8.4,47,87.15,41.55,41,20.7,32.65,64.15
e2-delay,46.25,6.6,47,88,46,40.7,20.45,31.85,66.05
